station_code,samplingpoint_x,samplingpoint_y,station_altitude
DEBE051,13.483079,52.64416899999999,60
DENW260,7.619377,51.953278000000005,66
DEBW046,9.800325,48.08988599999999,534
DESH015,9.532635,53.924712,40
DESH023,10.695936,53.835492,12
DENW006,7.569761,51.592208,59
DENW094,6.093826,50.75472900000001,200
DEBB068,13.582268999999998,52.677651000000004,71
DEBW118,9.19101,48.7881,239
DESH027,10.135158,54.304676,8
DEBW080,8.387189999999999,49.00795999999998,119
DEHB005,8.569405000000001,53.56245500000001,3
DENI059,8.801219999999999,53.830169999999995,3
DENI028,10.238539999999999,51.50758,185
DENI054,9.706120000000002,52.36292000000001,85
DESN079,14.749731,51.285356,148
DENW067,8.548362,52.02315499999999,106
DENW208,7.084555,51.527901,36
DENW112,6.771866999999999,51.437686,36
DENW382,6.727486,51.46072099999999,28
DESN019,12.542056,50.826001,233
DEHE063,8.642000000000001,49.64323799999999,110
DESH008,10.240596,54.09322999999999,45
DEMV007,12.174105000000004,54.16155499999999,5
DEBY093,11.786341,49.48798299999999,393
DEBY032,11.442591000000002,50.103134999999995,303
DERP023,8.3649,49.62869999999999,97
DEBB110,13.048779,52.539503999999994,39
DETH095,10.450997000000001,51.20794400000001,215
DEBW147,9.21079,48.48933,382
DEMV024,12.463929000000002,53.396347999999996,116
DESL003,6.73354,49.357861,185
DESN093,12.211112,50.608136,430
DENW212,6.957649000000001,50.947268,55
DESN025,12.377162999999998,51.34416399999999,110
DEST011,10.790142999999999,51.83938199999999,235
DEST050,11.979055999999998,51.496185,116
DEBY122,10.404232,47.51801300000001,1169
DEUB029,10.769534,50.65406600000001,937
DEBB086,13.424304000000001,52.34970299999999,43
DEBB063,11.73846,52.99875,22
DEBB055,12.552303,52.420442,33
DENW062,7.082648000000002,50.75362899999999,60
DEHB012,8.735047,53.12456099999999,8
DENI053,7.942570000000001,52.99796,17
DENI043,7.31747,52.49855,30
DETH083,11.326069999999998,50.977462,220
DETH093,11.321017,50.982185,224
DETH026,10.375299000000002,50.56175399999999,450
DESN076,13.009405999999998,51.303772,313
DEMV022,12.099553000000002,54.09261999999999,9
DEBY068,10.232076,50.048397,231
DENI143,8.212083999999999,53.142835999999996,8
DENW042,6.6402420000000015,51.33766900000001,36
DENW182,6.582205,50.92710699999999,78
DERP060,7.614573000000001,49.191996,378
DEMV019,12.175512,53.78175,17
DENI016,10.48132,51.90158,208
DETH042,10.867188,51.333333,420
DEBW122,7.85992,47.98819999999999,289
DEST092,12.59827,51.867471,73
DESH058,10.540524000000001,53.38233799999998,37
DESN004,14.443770999999998,51.175669,203
DEBW084,7.832122,48.001511,262
DEHE051,9.935862,50.497710999999995,931
DEHE061,8.668579,50.58410799999999,162
DESN074,13.465078,50.659096999999996,785
DEBB021,13.059944999999999,52.401352,31
DEBE064,13.433967,52.481708999999995,40
DENI062,10.4565,53.246959999999994,47
DENI042,9.949760000000001,51.55107000000001,170
DEBB044,14.327998000000001,51.756593,75
